Type,Localisation,Price,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Price_m2,Current_state,Age
Appartements,Aïn Sebaâ,560000,60.0,3.0,2.0,1.0,2.0,"['Bon état', '5-10 ans']",9333.333333333334,Bon état,5-10 ans
Appartements,Oulfa,390000,50.0,3.0,2.0,1.0,3.0,"['Bon état', '1-5 ans']",7800.0,Bon état,1-5 ans
Appartements,Ain Diab,2650000,172.0,4.0,3.0,3.0,1.0,"['Bon état', '10-20 ans']",15406.976744186046,Bon état,10-20 ans
Appartements,Gauthier,3200000,197.0,6.0,4.0,3.0,5.0,"['Bon état', '10-20 ans']",16243.654822335026,Bon état,10-20 ans
Appartements,Belvédère,935000,85.0,3.0,2.0,2.0,3.0,"['Bon état', '5-10 ans']",11000.0,Bon état,5-10 ans
Appartements,Val Fleury,2400000,137.0,5.0,3.0,2.0,2.0,"['Bon état', '1-5 ans']",17518.24817518248,Bon état,1-5 ans
Villas,Polo,8000000,800.0,5.0,3.0,3.0,0.0,['À rénover'],10000.0,À rénover,
Villas,Ain Diab,14000000,700.0,7.0,4.0,4.0,0.0,['Bon état'],20000.0,Bon état,
Appartements,Casablanca Finance City,2350000,103.0,3.0,2.0,2.0,3.0,"['Nouveau', '1-5 ans']",22815.533980582524,Nouveau,1-5 ans
Villas,Californie,7200000,450.0,5.0,4.0,5.0,0.0,['Bon état'],16000.0,Bon état,
Villas,Californie,16000000,1040.0,8.0,5.0,6.0,0.0,['Bon état'],15384.615384615385,Bon état,
Appartements,Val Fleury,1140000,74.0,3.0,2.0,2.0,4.0,['Bon état'],15405.405405405403,Bon état,
Appartements,Hermitage,870000,56.0,2.0,1.0,2.0,4.0,"['Nouveau', ""Moins d'un an""]",15535.714285714286,Nouveau,Moins d'un an
Appartements,Les Hôpitaux,2760000,230.0,9.0,3.0,3.0,6.0,"['Bon état', '10-20 ans']",12000.0,Bon état,10-20 ans
