Type,Localisation,Price,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Price_m2,Current_state,Age
Appartements,Gauthier,3150000,138.0,6.0,2.0,2.0,6.0,['Nouveau'],22826.08695652174,Nouveau,
Appartements,Casablanca Finance City,6200000,206.0,10.0,3.0,3.0,8.0,"['Nouveau', '1-5 ans']",30097.087378640776,Nouveau,1-5 ans
Appartements,Triangle d'Or,5400000,373.0,6.0,3.0,3.0,1.0,['Bon état'],14477.21179624665,Bon état,
Appartements,Maârif Extension,1850000,105.0,3.0,2.0,2.0,5.0,['Bon état'],17619.04761904762,Bon état,
Appartements,Les princesses,1650000,100.0,3.0,2.0,2.0,1.0,['Bon état'],16500.0,Bon état,
Villas,CIL (Hay Salam),4500000,286.0,9.0,3.0,3.0,0.0,['Bon état'],15734.265734265737,Bon état,
Appartements,Sidi Maarouf,660000,62.0,3.0,2.0,1.0,2.0,"['Bon état', '10-20 ans']",10645.16129032258,Bon état,10-20 ans
Villas,Anfa,6300000,360.0,7.0,3.0,4.0,0.0,['Bon état'],17500.0,Bon état,
Appartements,Californie,1250000,89.0,3.0,2.0,2.0,4.0,"['Bon état', '5-10 ans']",14044.943820224718,Bon état,5-10 ans
Appartements,Les princesses,1250000,80.0,6.0,2.0,2.0,3.0,"['Bon état', '10-20 ans']",15625.0,Bon état,10-20 ans
Appartements,Aïn Sebaâ,750000,76.0,6.0,2.0,2.0,4.0,"['Nouveau', ""Moins d'un an""]",9868.421052631578,Nouveau,Moins d'un an
Appartements,Aïn Sebaâ,1050000,110.0,6.0,2.0,2.0,1.0,"['Nouveau', ""Moins d'un an""]",9545.454545454546,Nouveau,Moins d'un an
Appartements,Aïn Sebaâ,934500,89.0,6.0,2.0,2.0,2.0,"['Nouveau', ""Moins d'un an""]",10500.0,Nouveau,Moins d'un an
Appartements,Aïn Sebaâ,934500,100.0,6.0,2.0,2.0,3.0,['Nouveau'],9345.0,Nouveau,
Appartements,Aïn Sebaâ,616000,56.0,3.0,1.0,1.0,1.0,"['Nouveau', ""Moins d'un an""]",11000.0,Nouveau,Moins d'un an
Appartements,Aïn Sebaâ,770000,70.0,4.0,1.0,2.0,1.0,"['Nouveau', ""Moins d'un an""]",11000.0,Nouveau,Moins d'un an
Appartements,Aïn Sebaâ,693000,65.0,3.0,1.0,1.0,1.0,"['Nouveau', ""Moins d'un an""]",10661.53846153846,Nouveau,Moins d'un an
Villas,Ain Diab,30000000,2100.0,8.0,5.0,5.0,0.0,"['Bon état', '10-20 ans']",14285.714285714286,Bon état,10-20 ans
Appartements,Oulfa,1350000,124.0,7.0,3.0,2.0,3.0,['Bon état'],10887.09677419355,Bon état,
Appartements,Racine,1550000,75.0,2.0,1.0,2.0,1.0,"['Nouveau', '1-5 ans']",20666.666666666668,Nouveau,1-5 ans
Appartements,Aïn Sebaâ,1520000,150.0,7.0,5.0,3.0,1.0,"['Bon état', '5-10 ans']",10133.333333333334,Bon état,5-10 ans
Appartements,Bourgogne Ouest,950000,63.0,2.0,2.0,2.0,3.0,"['Bon état', '10-20 ans']",15079.36507936508,Bon état,10-20 ans
Appartements,Bourgogne Ouest,3100000,179.0,3.0,3.0,2.0,4.0,"['Bon état', '5-10 ans']",17318.435754189944,Bon état,5-10 ans
Appartements,Anfa,2200000,175.0,3.0,3.0,2.0,4.0,"['Bon état', '20-30 ans']",12571.42857142857,Bon état,20-30 ans
Appartements,Bourgogne Ouest,770000,87.0,4.0,2.0,1.0,4.0,"['Bon état', '20-30 ans']",8850.574712643678,Bon état,20-30 ans
Appartements,Bourgogne Ouest,3200000,191.0,3.0,3.0,3.0,4.0,"['Nouveau', '1-5 ans']",16753.92670157068,Nouveau,1-5 ans
Appartements,Bourgogne Ouest,1330000,90.0,4.0,2.0,2.0,2.0,"['Bon état', '5-10 ans']",14777.777777777776,Bon état,5-10 ans
Appartements,Maârif Extension,1350000,103.0,3.0,2.0,2.0,2.0,"['Bon état', '5-10 ans']",13106.796116504856,Bon état,5-10 ans
Appartements,Maârif,1200000,80.0,8.0,2.0,1.0,3.0,"['Bon état', '10-20 ans']",15000.0,Bon état,10-20 ans
Villas,Ain Diab,44000000,2250.0,8.0,4.0,4.0,0.0,['Bon état'],19555.555555555555,Bon état,
Appartements,Maârif Extension,1450000,99.0,2.0,2.0,1.0,3.0,['Bon état'],14646.464646464648,Bon état,
Appartements,Californie,2100000,134.0,4.0,3.0,2.0,3.0,"['Bon état', '5-10 ans']",15671.641791044776,Bon état,5-10 ans
Appartements,Racine,3400000,195.0,4.0,3.0,2.0,5.0,"['Bon état', '10-20 ans']",17435.897435897437,Bon état,10-20 ans
Appartements,Oulfa,980000,85.0,3.0,2.0,1.0,2.0,"['Bon état', '5-10 ans']",11529.411764705885,Bon état,5-10 ans
Appartements,Palmier,1300000,65.0,3.0,2.0,2.0,4.0,"['Nouveau', ""Moins d'un an""]",20000.0,Nouveau,Moins d'un an
Appartements,La Gironde,850000,76.0,6.0,2.0,2.0,2.0,"['Nouveau', ""Moins d'un an""]",11184.21052631579,Nouveau,Moins d'un an
Appartements,Aïn Sebaâ,660000,74.0,4.0,3.0,1.0,4.0,['Bon état'],8918.918918918918,Bon état,
Appartements,Maârif,1490000,92.0,3.0,2.0,2.0,4.0,"['Bon état', ""Moins d'un an""]",16195.652173913044,Bon état,Moins d'un an
Appartements,Casablanca Finance City,6200000,257.0,5.0,4.0,3.0,1.0,['Nouveau'],24124.513618677043,Nouveau,
Appartements,Casablanca Finance City,3025000,126.0,3.0,2.0,2.0,1.0,['Nouveau'],24007.93650793651,Nouveau,
Villas,Aïn Sebaâ,3600000,392.0,4.0,10.0,4.0,0.0,"['Bon état', '20-30 ans']",9183.673469387755,Bon état,20-30 ans
Appartements,Racine,5990000,244.0,3.0,3.0,3.0,5.0,"['Bon état', '5-10 ans']",24549.180327868853,Bon état,5-10 ans
Villas,Anfa,36000000,1600.0,10.0,5.0,5.0,0.0,"['Bon état', '10-20 ans']",22500.0,Bon état,10-20 ans
Appartements,Les princesses,2100000,118.0,2.0,2.0,1.0,7.0,"['Nouveau', '1-5 ans']",17796.610169491527,Nouveau,1-5 ans
Appartements,Les princesses,2100000,113.0,4.0,3.0,2.0,4.0,"['Bon état', '1-5 ans']",18584.07079646017,Bon état,1-5 ans
Appartements,Maârif Extension,1495000,106.0,3.0,2.0,2.0,2.0,"['Bon état', '5-10 ans']",14103.77358490566,Bon état,5-10 ans
Appartements,Aïn Sebaâ,550000,57.0,3.0,3.0,1.0,4.0,"['Bon état', '10-20 ans']",9649.122807017544,Bon état,10-20 ans
