Type,Localisation,Latitude,Longitude,Price,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Price_m2
Appartements,Al Qods,33.557167523684654,-7.59829044342041,870000,100.0,5.0,3.0,2.0,,['Bon état'],8700.0
Appartements,Californie,,,5500000,256.0,8.0,4.0,4.0,,"['Bon état', '5-10 ans']",21484.375
Appartements,Val Fleury,33.57519011717882,-7.636785507202148,3100000,220.0,9.0,3.0,3.0,3.0,"['Bon état', '10-20 ans']",14090.90909090909
Appartements,Al Qods,33.57544227068509,-7.569580078125,950000,91.0,4.0,2.0,2.0,2.0,"['Bon état', '10-20 ans']",10439.560439560439
Appartements,Ain Borja,,,1058000,92.0,5.0,2.0,2.0,1.0,"['Bon état', '5-10 ans']",11500.0
Appartements,Al Qods,33.61472650938991,-7.485895156860323,810000,85.0,4.0,3.0,2.0,3.0,"['Bon état', '5-10 ans']",9529.411764705883
Appartements,Oulfa,,,300000,50.0,3.0,2.0,1.0,,['Bon état'],6000.0
Maisons,Hay Lalla Meriem,33.559848692145394,-7.552062509915316,550000,48.0,2.0,5.0,2.0,0.0,"['Bon état', '10-20 ans']",11458.333333333334
Appartements,Hay Zobir,33.583556471073265,-7.579107284545898,580000,76.0,2.0,1.0,1.0,3.0,"['Bon état', '20-30 ans']",7631.578947368421
Villas,Hermitage,33.57089936469496,-7.620348930358887,8800000,880.0,10.0,4.0,3.0,0.0,"['À rénover', '20-30 ans']",10000.0
Villas,Racine Extension,,,7980000,420.0,7.0,4.0,2.0,0.0,"['À rénover', '20-30 ans']",19000.0
Villas,Ain Diab,33.58630932470067,-7.671375274658203,20631000,1058.0,9.0,4.0,4.0,0.0,"['À rénover', '20-30 ans']",19500.0
Villas,Aïn Sebaâ,,,8834000,631.0,,,,0.0,[],14000.0
Villas,Ain Diab,33.58630932470067,-7.671375274658203,45000,667.0,5.0,4.0,3.0,0.0,[],67.46626686656671
Appartements,Casablanca Finance City,33.564963472203374,-7.657341957092143,2350000,104.0,3.0,2.0,2.0,,['Bon état'],22596.153846153848
Appartements,Sidi Maarouf,,,500000,49.0,3.0,2.0,1.0,1.0,"['Bon état', '5-10 ans']",10204.081632653062
Appartements,Hay Tasahol,33.603227186334585,-7.644596584059343,630000,83.0,3.0,2.0,1.0,4.0,"['À rénover', '20-30 ans']",7590.361445783133
Villas,Ain Diab,,,8500000,477.0,7.0,5.0,4.0,0.0,"['Bon état', '5-10 ans']",17819.706498951782
Villas,Ain Diab,33.58630932470067,-7.671375274658203,16000000,1050.0,6.0,4.0,5.0,0.0,"['Nouveau', '1-5 ans']",15238.095238095239
Appartements,Moulay Youssef,33.59692665165899,-7.634639739990234,1100000,72.0,3.0,2.0,2.0,4.0,"['Bon état', '5-10 ans']",15277.777777777777
Appartements,Oulfa,,,700000,84.0,6.0,4.0,1.0,3.0,"['Bon état', '10-20 ans']",8333.333333333334
Appartements,Maârif,33.58692250790358,-7.642201520205958,4300000,215.0,4.0,4.0,2.0,2.0,"['À rénover', '20-30 ans']",20000.0
Appartements,Racine,33.58922587814363,-7.636410130789471,4300000,256.0,4.0,3.0,1.0,2.0,"['À rénover', '20-30 ans']",16796.875
Villas,Anfa,,,16500000,680.0,10.0,4.0,5.0,0.0,['Nouveau'],24264.70588235294
Appartements,Mers Sultan,33.57955216356586,-7.611980438232422,3500000,222.0,3.0,3.0,3.0,5.0,"['Bon état', '10-20 ans']",15765.765765765766
Villas,Anfa,,,2800000,178.0,8.0,7.0,3.0,0.0,"['À rénover', '50-70 ans']",15730.337078651686
Appartements,Maârif,,,950000,58.0,2.0,1.0,1.0,4.0,"['Bon état', '5-10 ans']",16379.310344827587
Appartements,Les Hôpitaux,33.58027617042447,-7.617344856262179,1490000,116.0,7.0,3.0,2.0,4.0,"['Bon état', '10-20 ans']",12844.827586206897
Appartements,Nassim 1,33.52050282991188,-7.662792205810547,1680000,105.0,3.0,3.0,2.0,5.0,"['Bon état', '5-10 ans']",16000.0
Appartements,Maârif Extension,33.57987394514173,-7.646827697753906,3200000,220.0,5.0,3.0,2.0,1.0,['Bon état'],14545.454545454546
Appartements,Racine,33.592458238962855,-7.648158073425293,2450000,164.0,4.0,2.0,2.0,4.0,['Bon état'],14939.024390243903
Appartements,Moulay Youssef,33.60392372082286,-7.633169889450215,1050000,74.0,4.0,2.0,1.0,3.0,"['Bon état', '5-10 ans']",14189.18918918919
Appartements,Beausite,33.59933541146033,-7.532393730506754,1097600,98.0,1.0,4.0,2.0,,['Nouveau'],11200.0
Appartements,La Floride,33.53745355724901,-7.673379400000016,590000,70.0,2.0,2.0,1.0,3.0,"['À rénover', '10-20 ans']",8428.57142857143
Appartements,Californie,,,1260000,153.0,6.0,2.0,2.0,2.0,"['Bon état', '1-5 ans']",8235.29411764706
Appartements,Ain Chock,33.53726530537312,-7.616041045279275,1500000,106.0,1.0,3.0,2.0,1.0,"['Nouveau', '1-5 ans']",14150.943396226416
Appartements,Palmier,,,2320000,145.0,6.0,3.0,2.0,3.0,['Bon état'],16000.0
Appartements,Oulfa,33.547117579470296,-7.675495147705078,729000,73.0,3.0,2.0,1.0,2.0,"['Bon état', '10-20 ans']",9986.301369863013
Appartements,Triangle d'Or,33.59361111159584,-7.64297068119032,3000000,175.0,5.0,3.0,3.0,1.0,"['Nouveau', '20-30 ans']",17142.85714285714
Appartements,Triangle d'Or,33.5893123375811,-7.635712623596333,2200000,138.0,3.0,2.0,3.0,,"['Bon état', '20-30 ans']",15942.028985507246
Appartements,Ain Chock,,,690000,75.0,3.0,2.0,1.0,4.0,['Bon état'],9200.0
